phase,throttle,T4_K,Fn_kN,Fg_kN,Fram_kN,W_kgs,BPR,OPR,N1_pct,N2_pct,fuel_kgs,SFC_g_kNs,EGT_C,VBV,LPC_Rline,valid,validity
cruise,95,1665.0,35.608643702313586,70.76923240396152,35.160588701647946,151.9535547498878,5.060479578997126,33.40756468431224,106.45927046150008,97.00242532645025,0.6603420052925438,18.544430133676777,774.1018163127884,0.0,31.6816123322671,False,LPC off map (R-line 31.68); N1 106.5% above 104% limit
cruise,90,1630.0,34.14560491947851,68.95737659649485,34.811771677016345,150.44607183201597,5.09825328990033,32.198585575297514,103.76202933075575,96.08207204409284,0.6242108108977787,18.280853783957856,748.9694777669047,0.009230769230769232,8.882739134192656,False,LPC off map (R-line 8.88)
cruise,85,1595.0,31.636835385798975,65.79032778210906,34.153492396310085,147.6011855427022,5.288836310339841,29.787864139295944,98.85105536293128,94.91026727375385,0.5685346750521406,17.970655665115682,724.2282613056589,0.025384615384615384,4.054391931593312,False,LPC off map (R-line 4.05)
cruise,80,1560.0,29.425868442212074,62.944026698923466,33.518158256711395,144.85546129487517,5.412371958900198,27.864246074827676,95.50868882529747,93.86695701714311,0.5222017621188362,17.74635005741159,699.4423393663797,0.04153846153846154,3.299559003331656,False,LPC off map (R-line 3.30)
cruise,75,1525.0,27.414418823393046,60.318547614604014,32.90412879121097,142.20180948046217,5.497803388476245,26.220623586061336,93.18628389508042,92.85591479489823,0.4819532756948758,17.58028425842898,675.0314989083358,0.057692307692307696,3.0483143585691055,False,LPC off map (R-line 3.05)
cruise,70,1490.0,25.458425838312895,57.71694428727857,32.25851844896568,139.41167455638842,5.555457686942765,24.735334924586684,91.66720787797223,91.93550036871942,0.44496972965978404,17.478289211037556,650.3427472281103,0.07384615384615385,2.9493553617168975,True,
cruise,65,1455.0,23.518610083373396,55.09668794612936,31.57807786275596,136.47101372877773,5.599146791289621,23.3361695041805,90.61420285294993,91.08947922382073,0.4100826277685307,17.436516287093035,625.5205442634284,0.09,2.9077569855526817,True,
cruise,60,1420.0,21.696112125128785,52.62926749973738,30.9331553746086,133.68385150451323,5.641381794223549,22.023854583872502,89.61433464938365,90.24417468245612,0.37780852566610623,17.413651048960165,600.7709292394848,0.10615384615384615,2.871606296866524,True,
cruise,55,1385.0,19.982952866422387,50.30537243202067,30.32241956559828,131.04443388896527,5.682027920509368,20.79255883729407,88.66633887918012,89.4022610468594,0.34792946966527294,17.411314133153127,576.0925452735239,0.1223076923076923,2.8396182010214637,True,
cruise,50,1350.0,18.370506359854588,48.11424274331659,29.743736383462,128.54353814612855,5.721072523501574,19.63589785669356,87.76736510613954,88.56536047853042,0.320235907636739,17.432067541510804,551.4857323044442,0.13846153846153847,2.810765855640056,True,
cruise,45,1315.0,16.769179524981332,45.907170493071355,29.137990968090023,125.92568752023998,5.757413258475779,18.514700800414122,86.92907383849435,87.7302252218683,0.29396485560843577,17.53006789452706,526.9455710869831,0.1546153846153846,2.7804651252275354,True,
cruise,40,1280.0,15.140234993888017,43.6192370919686,28.479002098080585,123.0777345980565,5.7962813809747065,17.39905598566684,86.07214335786367,86.89431281594223,0.26870776190279977,17.74792544575925,502.52478003228043,0.17076923076923076,2.747570270833042,True,
cruise,35,1245.0,13.599119443276287,41.447275651038765,27.84815620776248,120.35140722206764,5.833918229623213,16.349654582381685,85.24827426309729,86.0648972508306,0.2453337124192364,18.0404116194843,478.337721259997,0.18692307692307691,2.717744163165344,True,
cruise,30,1210.0,12.133339519367269,39.375107716003235,27.241768196635967,117.73077948940195,5.870208946020939,15.360766059381335,84.44850918876676,85.26573333620279,0.2235890150200583,18.42765667796281,454.2562226462919,0.20307692307692307,2.7004412360288015,True,
cruise,25,1175.0,10.768983005755913,37.446667662707,26.677684656951087,115.29297903735777,5.9044855337546736,14.440159598095995,83.69668879978009,84.47651310813455,0.20361817317072042,18.90783679962059,430.27792598121516,0.2192307692307692,2.6833081244132115,True,
cruise,20,1140.0,9.395205301016986,35.47147998033328,26.076274679316292,112.69386487749239,5.941732439894719,13.53208367942207,82.9188391065493,83.6601363523214,0.18458846705488532,19.647092441386512,406.4200956923189,0.23538461538461536,2.6569160402020406,True,
cruise,15,1105.0,8.01150106699335,33.4398578876339,25.428356820640552,109.89375755713057,5.981511493405929,12.635492326132107,82.11525500172262,82.79875563395656,0.16648373617647264,20.780592149250328,383.12164821082445,0.25153846153846154,2.617880998048941,True,
cruise,10,1070.0,6.747422552560789,31.562277584395133,24.814855031834345,107.24238620366552,6.0173872759252225,11.802625788435213,81.34564847985632,81.95219631722202,0.1499637250233012,22.225334763773876,360.93159300166985,0.2676923076923077,2.5799202340658702,True,
cruise,5,1035.0,5.603559814600213,29.840934840747373,24.23737502614716,104.74669022980811,6.047228396029729,11.032837985430998,80.61265086820961,81.12440565723678,0.13492710357229962,24.078819185751126,339.6723064629982,0.2838461538461538,2.542553143580421,False,FAN off map (R-line 2.63)
cruise,0,1000.0,4.579987520304966,28.284019367652533,23.70403184734757,102.4417404291127,6.070049843187183,10.325966581084177,79.92727000607105,80.31260464524996,0.12129803977090683,26.48436032481372,319.1641555375181,0.3,2.507542140512252,False,FAN off map (R-line 2.70)
